,pdfname,"results_UOP_list (text, fontSize, bbox, page_idx)",max_idx_UOP,"results_SEEGP_list (text, fontSize, bbox, page_idx)",max_idx_SEEGP
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,"[('Use of Proceeds  ', 11.039999961853027, (85.10399627685547, 407.7648620605469, 177.44912719726562, 420.328369140625), 1), ('Initiative to assure the Use of Proceeds allocation, ongoing eligibility of the projects and ', 11.039999961853027, (85.10399627685547, 174.45489501953125, 513.0806884765625, 187.01841735839844), 3)]",0,"[('Selection and Evaluation of Eligible Green Projects  ', 11.039999961853027, (85.10399627685547, 354.48486328125, 358.339111328125, 367.0483703613281), 2), ('The project selection process includes the approval of local energy distributor, analysis ', 11.039999961853027, (85.10399627685547, 430.80487060546875, 513.1467895507812, 443.3683776855469), 2)]",0
1,Chile_Sustainable_Bond_Framework,"[('Use of Proceeds', 8.0, (311.42449951171875, 531.9049072265625, 363.7837829589844, 543.23291015625), 2), ('Use of Proceeds', 11.0, (96.37440490722656, 685.5799560546875, 168.3682861328125, 701.1559448242188), 18), ('Use of Proceeds', 15.0, (319.5419006347656, 195.83770751953125, 421.6903991699219, 217.0777130126953), 18), ('execution. For the use of proceeds for green ', 11.0, (70.86609649658203, 144.3797149658203, 292.3170166015625, 159.95571899414062), 31), ('on the Use of Proceeds', 11.0, (87.87210083007812, 368.77984619140625, 191.19398498535156, 384.3558654785156), 31), ('described in the section on Use of the Proceeds ', 11.0, (326.6270751953125, 117.98072814941406, 548.0792846679688, 133.55673217773438), 36)]",2,"[('Project Evaluation ', 11.0, (123.50201416015625, 216.1040802001953, 207.87091064453125, 231.68008422851562), 3), ('Process for Project Evaluation and Selection', 11.0, (345.0513916015625, 104.77998352050781, 538.5963745117188, 120.3559799194336), 18), ('Process for Project Evaluation and Selection', 11.0, (345.0513916015625, 104.77998352050781, 538.5963745117188, 120.3559799194336), 18), ('Process for Project Evaluation and Selection', 11.0, (345.0513916015625, 104.77998352050781, 538.5963745117188, 120.3559799194336), 18), (' Evaluation and Selection process for Eligible Sustainable Expenditures', 11.0, (120.435302734375, 106.17268371582031, 438.10107421875, 121.7486801147461), 30), (' Evaluation and Selection process for Eligible Sustainable Expenditures', 11.0, (120.435302734375, 106.17268371582031, 438.10107421875, 121.7486801147461), 30), (' Evaluation and Selection process for Eligible Sustainable Expenditures', 11.0, (120.435302734375, 106.17268371582031, 438.10107421875, 121.7486801147461), 30), ('selection process.   ', 11.0, (70.86609649658203, 263.1798095703125, 158.73300170898438, 278.7558288574219), 31)]",0
2,Genneia_Green_Financing_Framework,"[('Use of proceeds', 9.0, (73.48359680175781, 589.5831909179688, 146.1226348876953, 600.4822387695312), 1), ('of use of proceeds for refinancing debt, we are ', 8.520000457763672, (60.000099182128906, 399.2519226074219, 258.51959228515625, 409.56964111328125), 6), ('and document the use of proceeds to specific ', 8.520000457763672, (60.000099182128906, 472.70281982421875, 255.27944946289062, 483.0205383300781), 6)]",0,[],0
3,"Marco_de_Uso_de_Fondo_para_la_Emision_de_Bonos_Verdes,_Sociales_o_Sostenibles_BDP_I","[('Marco de uso de fondos para las emisiones de Bonos Verdes, Sociales o Sostenibles BDP I ......................... 6', 11.039999961853027, (72.02400207519531, 160.10000610351562, 539.8172607421875, 171.13999938964844), 1), ('3. Directrices de uso de fondos de Bonos Verdes, Sociales o Sostenibles .......................................................... 16', 11.039999961853027, (81.98400115966797, 267.5299987792969, 539.8175659179688, 278.57000732421875), 1), ('3.1. Uso de Fondos ................................................................................................................................................ 17', 11.039999961853027, (81.98400115966797, 280.9700012207031, 539.8175659179688, 292.010009765625), 1), ('Sección 3: Directrices uso de fondos para la primera emisión del BDP-S.A.M. ................................................. 62', 11.039999961853027, (81.98400115966797, 495.7900085449219, 539.8175659179688, 506.83001708984375), 1), ('Directrices de uso de fondos para la emisión “Bonos Verdes BDP I-Emisión 1” ........................................... 62', 11.039999961853027, (72.02400207519531, 515.22998046875, 539.8175659179688, 526.27001953125), 1), ('3. Directrices de uso de fondos de la emisión “BONOS VERDES BDP I-EMISIÓN 1” ......................................... 65', 11.039999961853027, (81.98400115966797, 595.7799682617188, 539.8175659179688, 606.8200073242188), 1), ('3.1. Uso de Fondos ................................................................................................................................................ 65', 11.039999961853027, (81.98400115966797, 609.219970703125, 539.8175659179688, 620.260009765625), 1), ('ARCO DE USO DE FONDOS PARA LAS ', 22.559999465942383, (114.73999786376953, 77.76319122314453, 546.3716430664062, 102.91759490966797), 5), ('3. Directrices de uso de fondos de Bonos Verdes, Sociales o ', 14.039999961853027, (100.81999969482422, 616.0738525390625, 507.7963562011719, 631.7284545898438), 15), ('El propósito de esta sección es describir las Directrices de uso de fondos para los Bonos Verdes, ', 11.039999961853027, (72.02400207519531, 660.1887817382812, 543.1643676757812, 672.4984130859375), 15), ('Uso de Fondos: ', 9.960000038146973, (95.42400360107422, 233.7662353515625, 170.90887451171875, 244.8716278076172), 16), ('Establece el uso de fondos para financiar o refinanciar proyectos ', 9.960000038146973, (257.45001220703125, 239.88623046875, 532.2262573242188, 250.9916229248047), 16), ('Detalla los informes necesarios sobre el uso de fondos y los ', 9.960000038146973, (257.45001220703125, 368.79620361328125, 532.2394409179688, 379.901611328125), 16), ('3.1. Uso de Fondos ', 14.039999961853027, (100.81999969482422, 442.7637939453125, 233.1531219482422, 458.41839599609375), 16), ('Tabla 5 Uso de los Fondos para financiar Proyectos verdes. ', 9.0, (192.25999450683594, 607.6749877929688, 422.3320007324219, 617.7100219726562), 18), ('Tabla 6 Uso de los Fondos para Proyectos Sociales. ', 9.0, (206.2100067138672, 481.64501953125, 408.2920227050781, 491.6800231933594), 27), ('expuestos en el Uso de los Fondos, y de ninguna manera financiarán proyectos no alineados con las ', 11.039999961853027, (72.02400207519531, 189.9488067626953, 543.0900268554688, 202.25840759277344), 35), ('a los inversionistas el uso de los recursos obtenidos por la o las emisiones. Estos criterios de ', 11.039999961853027, (72.02400207519531, 215.26881408691406, 543.111328125, 227.5784149169922), 35), ('elegibles, descritas en el Componente i. Uso de los fondos.  ', 11.039999961853027, (72.02400207519531, 370.69879150390625, 355.4591369628906, 383.0083923339844), 36), ('de proyectos e inversiones según el Uso de fondos estipulados en este documento, y su posterior ', 11.039999961853027, (72.02400207519531, 183.9488067626953, 543.1495361328125, 196.25840759277344), 37), ('Sección 3: Directrices uso de fondos para la primera emisión del ', 14.039999961853027, (100.81999969482422, 72.2737808227539, 535.6316528320312, 87.92838287353516), 61), ('IRECTRICES DE USO DE FONDOS PARA ', 22.559999465942383, (93.98400115966797, 127.92322540283203, 544.5719604492188, 153.07762145996094), 61), ('Por lo anterior, el propósito de este documento es describir el uso de fondos para la emisión “BONOS ', 11.039999961853027, (72.02400207519531, 185.38880920410156, 543.1690673828125, 197.6984100341797), 62), ('3. Directrices de uso de fondos de la emisión “', 14.039999961853027, (100.81999969482422, 72.2737808227539, 412.0899963378906, 87.92838287353516), 64), ('Uso de Fondos ', 11.039999961853027, (108.0199966430664, 270.1387939453125, 183.08912658691406, 282.4483947753906), 64), ('3.1. Uso de Fondos ', 14.039999961853027, (100.81999969482422, 362.82379150390625, 233.1531219482422, 378.4783935546875), 64), ('Tabla 2 Uso de los Fondos para financiar Proyectos verdes.', 9.0, (192.25999450683594, 104.91500091552734, 419.8610534667969, 114.94999694824219), 67), ('El detalle de los criterios de exclusión se describe en el documento “Marco de uso de fondos de ', 11.039999961853027, (72.02400207519531, 628.1488037109375, 543.14697265625, 640.4584350585938), 72), ('expuestos en el Uso de los Fondos, y de ninguna manera financiarán proyectos no alineados con las ', 11.039999961853027, (72.02400207519531, 382.3387756347656, 543.0900268554688, 394.64837646484375), 74), ('los inversionistas el uso de los recursos obtenidos por la o las emisiones. Estos criterios de ', 11.039999961853027, (72.02400207519531, 407.5387878417969, 543.0457153320312, 419.848388671875), 74), ('de proyectos e inversiones según el Uso de fondos estipulados en este documento, y su posterior ', 11.039999961853027, (72.02400207519531, 249.97877502441406, 543.1495361328125, 262.2883605957031), 75), ('documento “Marco de uso de fondos para las emisiones de Bonos Verdes, Sociales o ', 11.039999961853027, (108.0199966430664, 84.82881164550781, 542.9669799804688, 97.1384048461914), 76)]",7,"[('3.2. Selección y Evaluación de Proyectos ............................................................................................................. 33', 11.039999961853027, (81.98400115966797, 361.489990234375, 539.8175659179688, 372.5299987792969), 1), ('3.2. Proceso de Selección y Evaluación de Proyectos ......................................................................................... 74', 11.039999961853027, (81.98400115966797, 689.85595703125, 539.8175659179688, 700.89599609375), 1), ('3.2. Selección y Evaluación de Proyectos ', 14.039999961853027, (100.81999969482422, 535.163818359375, 378.73309326171875, 550.8184204101562), 32), ('En el caso de la emisión de estos Bonos, la selección y evaluación de proyectos verdes, sociales y ', 11.039999961853027, (72.02400207519531, 657.788818359375, 537.9990844726562, 670.0984497070312), 32), ('Proceso de Selección y Evaluación de Proyectos ', 11.039999961853027, (108.0199966430664, 288.7388000488281, 341.0591125488281, 301.04840087890625), 64), ('3.2. Proceso de Selección y Evaluación de Proyectos ', 14.039999961853027, (100.81999969482422, 72.2737808227539, 458.0531005859375, 87.92838287353516), 73)]",2
4,Green_Bond_Framework,"[('Usos dos Recursos ', 12.0, (115.25, 291.3279724121094, 208.50999450683594, 304.6119689941406), 1), ('Usos dos Recursos ', 12.0, (103.25, 706.137939453125, 200.11000061035156, 719.4219360351562), 9)]",0,"[('Avaliação e Seleção de Ativos ', 12.0, (103.25, 133.8379669189453, 257.260009765625, 147.12196350097656), 15)]",0
5,Green_Bonds_Framework_Athon_2020,"[('Uso de Recursos .......................................................................................... 5', 11.039999961853027, (149.05999755859375, 177.9488067626953, 522.958251953125, 190.25840759277344), 1), ('que se iniciam no uso de recursos, passando pelo processo de avaliação e seleção de ', 11.039999961853027, (72.02400207519531, 275.77874755859375, 526.4067993164062, 288.0883483886719), 4), ('3.1 Uso de Recursos ', 12.960000038146973, (72.02400207519531, 413.8411865234375, 210.6528778076172, 428.29156494140625), 4), ('‘Uso de Recursos’ sejam cumpridas. ', 11.039999961853027, (72.02400207519531, 91.42878723144531, 253.6791229248047, 103.7383804321289), 7)]",2,"[('Processo de Avaliação e Seleção de Projetos ............................................. 7', 11.039999961853027, (149.05999755859375, 201.9488067626953, 522.958251953125, 214.25840759277344), 1), ('3.2 Processo de Avaliação e Seleção de Projetos ', 12.960000038146973, (72.02400207519531, 551.9811401367188, 384.19287109375, 566.4315795898438), 6)]",1
6,Green_Bond_Framework,"[('Usos dos Recursos ', 12.0, (115.25, 291.3279724121094, 208.50999450683594, 304.6119689941406), 1), ('Usos dos Recursos ', 12.0, (103.25, 706.137939453125, 200.11000061035156, 719.4219360351562), 9)]",0,"[('Avaliação e Seleção de Ativos ', 12.0, (103.25, 133.8379669189453, 257.260009765625, 147.12196350097656), 15)]",0
7,Green_Bonds_Framework_Athon_2020,"[('Uso de Recursos .......................................................................................... 5', 11.039999961853027, (149.05999755859375, 177.9488067626953, 522.958251953125, 190.25840759277344), 1), ('que se iniciam no uso de recursos, passando pelo processo de avaliação e seleção de ', 11.039999961853027, (72.02400207519531, 275.77874755859375, 526.4067993164062, 288.0883483886719), 4), ('3.1 Uso de Recursos ', 12.960000038146973, (72.02400207519531, 413.8411865234375, 210.6528778076172, 428.29156494140625), 4), ('‘Uso de Recursos’ sejam cumpridas. ', 11.039999961853027, (72.02400207519531, 91.42878723144531, 253.6791229248047, 103.7383804321289), 7)]",2,"[('Processo de Avaliação e Seleção de Projetos ............................................. 7', 11.039999961853027, (149.05999755859375, 201.9488067626953, 522.958251953125, 214.25840759277344), 1), ('3.2 Processo de Avaliação e Seleção de Projetos ', 12.960000038146973, (72.02400207519531, 551.9811401367188, 384.19287109375, 566.4315795898438), 6)]",1
8,Cartilla_Bonos_Verdes,"[('Uso de Fondos Proyectos Verdes Elegibles ', 12.0, (186.3311004638672, 484.85931396484375, 423.5638122558594, 498.935302734375), 1), ('siguientes parámetros aplicables para la respectiva Emisión: i) el uso de los fondos provenientes ', 12.0, (44.53338623046875, 647.2919921875, 570.4332275390625, 661.3679809570312), 10), ('uso de los fondos.', 12.0, (44.53338623046875, 692.2919921875, 143.47341918945312, 706.3679809570312), 10), ('i. Uso de Fondos Proyectos', 16.0, (118.30860137939453, 411.82470703125, 329.89739990234375, 433.61669921875), 10), ('anteriormente, tendrán asignación y aprobación automática hasta agotar el uso de recursos, ', 12.0, (44.52980041503906, 306.80462646484375, 570.423828125, 320.880615234375), 17), ('embargo, se basará en las categorías descritas en el numeral i. Uso de Fondos de Proyectos ', 12.0, (44.52980422973633, 576.8046264648438, 570.4010009765625, 590.880615234375), 17), ('cumplimiento de los requisitos de ‘’Uso de los fondos verdes’’ en caso que se den cambios ', 12.0, (44.52980041503906, 631.1824951171875, 570.4453735351562, 645.2584838867188), 18), ('Banco Finandina BIC presentará el Informe de Uso de los Fondos y el Impacto Ambiental espera-', 12.0, (44.52980041503906, 413.21673583984375, 567.4732666015625, 427.292724609375), 19), ('Los Reportes de Uso de Fondos de Bonos Verdes serán emitidos para evidenciar el desempeño de ', 12.0, (44.52980041503906, 488.21673583984375, 570.420166015625, 502.292724609375), 19), ('Confirmación del adecuado uso de los recursos provenientes de la Emisión, según lo ', 12.0, (80.404296875, 111.80072021484375, 570.4146118164062, 125.87671661376953), 20), ('mantenerlos informados sobre la evolución del uso de los fondos obtenidos mediante cada ', 12.0, (44.52660369873047, 310.859375, 570.4049682617188, 324.93536376953125), 21)]",3,"[('Procedimiento Selección y Evaluación ', 12.0, (186.3311004638672, 502.85931396484375, 398.5655212402344, 516.935302734375), 1), ('El procedimiento de selección y evaluación de Proyectos Verdes Elegibles estará en cabeza del ', 12.0, (44.53059387207031, 665.8200073242188, 570.4210205078125, 679.89599609375), 16), ('ii. Procedimiento Selección', 16.0, (118.30809783935547, 464.2304992675781, 332.61212158203125, 486.0224914550781), 16)]",2
9,Bono_Azul_-_Framework,"[('2.1 Uso de los recursos ', 12.0, (41.1328010559082, 318.21661376953125, 169.0167694091797, 336.7926025390625), 1), ('2.1.1 Uso de Recursos Social ', 12.0, (41.1328010559082, 332.6166076660156, 198.79957580566406, 351.1925964355469), 1), ('2.1.2 Uso de Recursos Verde y enfoque Azul ', 12.0, (41.1328010559082, 347.01690673828125, 282.6327819824219, 365.5928955078125), 1), ('2.5 Información sobre el uso de los recursos ', 12.0, (41.1328010559082, 433.41680908203125, 280.89398193359375, 451.9927978515625), 1), ('pilares fundamentales: (i) uso de recursos; (ii) proceso de evaluación y selección de proyectos; (iii) gestión de ', 11.0, (40.97981262207031, 393.14862060546875, 577.9265747070312, 410.1766052246094), 6), ('Uso de los recursos', 11.0, (76.98410034179688, 335.3027038574219, 172.8040008544922, 352.3306884765625), 7), ('2.1.1 Uso de Recursos Social ', 11.0, (40.98440170288086, 361.70269775390625, 193.9910888671875, 378.7306823730469), 7), ('2.1.2 USO DE RECURSOS VERDE Y ENFOQUE', 11.0, (40.98440170288086, 36.143924713134766, 291.04412841796875, 54.425926208496094), 9), ('apropiado uso de recursos azul, y las sinergias sociales y ambientales en el financiamiento de las inversiones ', 11.0, (40.98699951171875, 353.5490417480469, 577.9313354492188, 370.5770263671875), 9), ('sostenibles, con el uso de recursos de las emisiones azules que BNCR realice utilizando este marco de ', 11.0, (40.98699951171875, 366.7490539550781, 577.8411254882812, 383.77703857421875), 9), ('únicamente si se ajusta al uso de fondos definido en las categorías y subcategorías sociales y verdes descritas ', 11.0, (40.98440170288086, 129.14901733398438, 577.9716186523438, 146.17701721191406), 16), ('Como parte del proceso de Aprobación, cuando se etiquete el uso de recursos de un bono temático, el ', 11.0, (40.98440170288086, 168.74905395507812, 577.8406982421875, 185.7770538330078), 16), ('hasta por un máximo del cincuenta por ciento (50%) del uso de los recursos correspondientes a la emisión en ', 11.0, (40.98440170288086, 287.5491638183594, 577.9386596679688, 304.5771484375), 17), ('que involucren bonos donde el uso de recursos de los mismos es total o parcialmente en la temática social.', 11.0, (40.98440170288086, 604.3491821289062, 569.9427490234375, 621.377197265625), 17), ('Información sobre el uso de los recursos', 8.375499725341797, (59.18159866333008, 87.59893035888672, 218.5681610107422, 101.51901245117188), 18), ('a partir del uso de fondos del Bono Social, desagregar por tamaño de la empresa', 7.444900035858154, (198.81539916992188, 116.57044219970703, 471.2844543457031, 128.09515380859375), 18), ('beneficiarios a partir del uso de fondos del Bono Social, desagregar por tamaño', 7.444900035858154, (198.81539916992188, 168.3051300048828, 466.4519958496094, 179.829833984375), 18), ('Valor de los ingresos asignados a cada uso de fondos desagregar por tamaño de la', 7.444900035858154, (198.81539916992188, 208.67140197753906, 476.3901672363281, 220.19610595703125), 18), ('que involucren bonos donde el uso de recursos de los mismos es total o parcialmente en la temática verde ', 11.0, (40.98440170288086, 49.948936462402344, 577.8837890625, 66.97693634033203), 19)]",0,"[('2.2  Proceso de evaluación y selección de proyectos  ', 12.0, (41.1328010559082, 390.2168884277344, 332.4723205566406, 408.7928771972656), 1), ('2.2  Proceso de evaluación y selección de proyectos  ', 12.0, (41.1328010559082, 390.2168884277344, 332.4723205566406, 408.7928771972656), 1), ('pilares fundamentales: (i) uso de recursos; (ii) proceso de evaluación y selección de proyectos; (iii) gestión de ', 11.0, (40.97981262207031, 393.14862060546875, 577.9265747070312, 410.1766052246094), 6), ('pilares fundamentales: (i) uso de recursos; (ii) proceso de evaluación y selección de proyectos; (iii) gestión de ', 11.0, (40.97981262207031, 393.14862060546875, 577.9265747070312, 410.1766052246094), 6), ('2.2 PROCESO DE EVALUACIÓN Y SELECCIÓN DE PROYECTOS', 11.0, (40.98440170288086, 36.143924713134766, 373.32855224609375, 54.425926208496094), 15), ('2.2 PROCESO DE EVALUACIÓN Y SELECCIÓN DE PROYECTOS', 11.0, (40.98440170288086, 36.143924713134766, 373.32855224609375, 54.425926208496094), 15)]",0
