,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'storage storage': 1.0, 'hydrogen hydrogen': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},"{'electric electric': 1.0, 'car car': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'potable potable': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'grid grid': 1.0, 'storage storage': 1.0, 'renewable renewable': 1.0, 'biofuel biofuel': 1.0, 'transmission transmission': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'generation generation': 1.0, 'power power': 1.0, 'hydrogen hydrogen': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'food food': 1.0, 'agriculture agriculture': 1.0, 'agriculture agricultural': 0.898859441280365, 'forest forest': 1.0, 'land land': 1.0}","{'biodiversity biodiversity': 1.0, 'conservation conservation': 1.0, 'terrestrial terrestrial': 1.0}","{'electric electric': 1.0, 'rail rail': 1.0, 'battery battery': 1.0, 'vehicle vehicle': 1.0, 'transportation transportation': 1.0}","{'wastewater wastewater': 1.0, 'water water': 1.0, 'sanitation sanitation': 1.0}",{'adaptation adaptation': 1.0},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
3,CADU_GREEN_BOND_FRAMEWORK,False,{},{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{'water water': 1.0},{},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'biomass biomass': 1.0, 'wind wind': 1.0, 'geothermal geothermal': 1.0}",{},{'waste waste': 1.0},{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{}
5,EGE_Haina_Green_Securities_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0, 'transmission transmission': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry forestry': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0}",{},{},{},{},{'battery battery': 1.0},{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{},{'pollution pollution': 1.0},{},{'biodiversity biodiversity': 1.0},{},{},{},{},{}
10,Marco_de_referencia_de_Bonos_Verdes_Soberanos_de_Colombia,True,"{'power power': 1.0, 'storage storage': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'agriculture agricultural': 0.898859441280365, 'agriculture agriculture': 1.0, 'forest forest': 1.0}","{'conservation conservation': 1.0, 'biodiversity biodiversity': 1.0}","{'electric electric': 1.0, 'non non': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'sanitation sanitation': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}","{'adaptation adaptation': 1.0, 'disaster disaster': 1.0}","{'reuse reuse': 1.0, 'circular circular': 1.0}",{'buildings buildings': 1.0}
11,Nacional_Financiera_Green_Bond_USD,True,"{'generation generation': 1.0, 'wind wind': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
12,SONDA_S_A__GREEN_BOND_FRAMEWORK,True,"{'geothermal geothermal': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'biomass biomass': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{},{},{},{'buildings buildings': 1.0}
13,Bono_Azul_-_Framework,False,{},{},{'de de': 0.9079835414886475},{},{},{},{},{},{},{'y y': 0.9070735573768616}
14,Bono_Verde_de_Bancoldex_Framework,True,"{'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'renovable renovable': 1.0}",{},"{'de de': 0.9079835414886475, 'contaminación contaminación': 1.0}",{},{},"{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0}",{},{},{},"{'la la': 0.947020411491394, 'construcciones construcciones': 1.0, 'y y': 0.9070735573768616}"
15,Cartilla_Bonos_Verdes,True,"{'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'cuadrícula (': 0.8893733024597168}",{},{'de de': 0.9079835414886475},{},{},"{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'no no': 0.9680165648460388, 'eléctricos eléctricos': 1.0}",{'  potable': 1.0000001192092896},{},{},"{'la la': 0.947020411491394, 'y y': 0.9070735573768616}"
16,Marco_de_Gestión_de_Bono_Verde,True,"{'hidroelectricidad electricidad': 0.8845244646072388, 'cuadrícula (': 0.9453670382499695, 'cuadrícula producida': 0.9135403037071228}",{},{'de de': 0.9079835414886475},{},{},"{'la la': 0.939012348651886, 'no no': 0.9680165648460388}",{},{},{},"{'la la': 0.947020411491394, 'y y': 0.9070735573768616}"
17,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",True,"{'cuadrícula (': 0.9473557472229004, 'solar solar': 1.0, 'generación generación': 1.0}",{},{'de de': 0.9079835414886475},{},{},"{'la la': 0.939012348651886, 'eléctricos eléctricos': 1.0, 'no no': 0.9680165648460388}",{},{},{},"{'la la': 0.947020411491394, 'y y': 0.9070735573768616}"
18,Marco_de_Referencia_del_Bono_Verde_de_la_Ciudad_de_Mexico,True,"{'cuadrícula (': 0.9473557472229004, 'cuadrícula totales': 0.892815351486206, 'generación generación': 1.0, 'biomasa biomasa': 1.0, 'cuadrícula tecnología': 0.8814537525177002, 'renovable renovable': 1.0}",{},"{'de de': 0.9079835414886475, 'contaminación descontaminación': 0.9332984685897827}",{},{'biodiversidad biodiversidad': 1.0},"{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'no no': 0.9680165648460388}",{},{},{},"{'la la': 0.947020411491394, 'construcciones edificaciones': 0.9605708122253418, 'y y': 0.9070735573768616}"
19,Green_Bonds_Framework_Athon_2020,True,"{'energia energia': 0.9084944128990173, 'geração geração': 1.0}",{},{},{},{},{},{},{},{},{}
