,pdfname,"results_UOP_list (text, fontSize, bbox, page_idx)",max_idx_UOP,"results_SEEGP_list (text, fontSize, bbox, page_idx)",max_idx_SEEGP
0,AES-Green-Financing-Framework-Reporting-May-2025,"[('Actual results and the use of proceeds from any Green Financing could differ materially from those projected in our forward-looking ', 8.024775505065918, (54.0, 245.57757568359375, 518.9403686523438, 254.53321838378906), 2)]",0,[],0
1,BNDES_Green_Bond_Framework,"[('3.1 Use of Proceeds ', 10.742133140563965, (88.08052825927734, 242.13421630859375, 178.82708740234375, 252.8763427734375), 1), ('Section 2: Impact of Use of Proceeds ', 10.742133140563965, (88.08153533935547, 330.81414794921875, 249.74911499023438, 341.5562744140625), 1), ('align with the four key pillars of the Green Bond Principles (GBP): use of proceeds, project selection ', 10.742133140563965, (70.43998718261719, 165.09429931640625, 527.7872924804688, 175.83642578125), 3), (' Use of Proceeds ', 13.661537170410156, (87.35997009277344, 204.49989318847656, 184.04676818847656, 218.19271850585938), 3), ('Section 2: Impact of Use of Proceeds ', 13.661537170410156, (70.43997192382812, 366.49981689453125, 279.6866455078125, 380.1926574707031), 7), ('BNDES’ green bond framework is transparent and provides clarity regarding use of proceeds and ', 10.742133140563965, (70.43997192382812, 419.2541809082031, 527.7874145507812, 429.9963073730469), 8), ('Use of Proceeds ', 10.742133140563965, (103.19995880126953, 439.7741394042969, 175.70724487304688, 450.5162658691406), 10), ('1. USE OF PROCEEDS', 11.676494598388672, (70.43997192382812, 145.05615234375, 170.52099609375, 156.75930786132812), 11), ('Use of proceeds categories as per GBP: ', 11.676494598388672, (68.63996887207031, 273.69610595703125, 259.6773681640625, 285.3992614746094), 11), ('Use of proceeds reporting:', 11.676494598388672, (70.43997192382812, 374.25604248046875, 199.30130004882812, 385.9591979980469), 13), ('allocation of the funds’ use of proceeds.', 10.742133140563965, (70.43994140625, 337.3545227050781, 242.70570373535156, 348.0966491699219), 15)]",3,"[('3.2 Project Evaluation and Selection Process ', 10.742133140563965, (88.08055877685547, 255.09423828125, 284.4273681640625, 265.83636474609375), 1), ('3.2 Project Evaluation and Selection Process ', 10.742133140563965, (88.08055877685547, 255.09423828125, 284.4273681640625, 265.83636474609375), 1), ('3.2 Project Evaluation and Selection Process ', 10.742133140563965, (88.08055877685547, 255.09423828125, 284.4273681640625, 265.83636474609375), 1), ('Project Evaluation and Selection Process ', 13.661537170410156, (104.87995147705078, 356.059814453125, 336.4454345703125, 369.7526550292969), 3), ('Project Evaluation and Selection Process ', 13.661537170410156, (104.87995147705078, 356.059814453125, 336.4454345703125, 369.7526550292969), 3), ('Project Evaluation and Selection Process ', 13.661537170410156, (104.87995147705078, 356.059814453125, 336.4454345703125, 369.7526550292969), 3), ('Sustainalytics is of the opinion that BNDES’ project risk assessment process has a number of strengths: ', 10.742133140563965, (70.43997192382812, 167.374267578125, 518.1864013671875, 178.11639404296875), 7), ('Process for Project Evaluation and Selection ', 10.742133140563965, (351.599853515625, 439.7741394042969, 544.8272094726562, 450.5162658691406), 10), ('Process for Project Evaluation and Selection ', 10.742133140563965, (351.599853515625, 439.7741394042969, 544.8272094726562, 450.5162658691406), 10), ('Process for Project Evaluation and Selection ', 10.742133140563965, (351.599853515625, 439.7741394042969, 544.8272094726562, 450.5162658691406), 10), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 11.676494598388672, (70.43997192382812, 552.5759887695312, 342.1170959472656, 564.2791137695312), 11), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 11.676494598388672, (70.43997192382812, 552.5759887695312, 342.1170959472656, 564.2791137695312), 11), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 11.676494598388672, (70.43997192382812, 552.5759887695312, 342.1170959472656, 564.2791137695312), 11), ('Evaluation and selection ', 11.676494598388672, (70.43997192382812, 147.2161865234375, 191.63768005371094, 158.91934204101562), 12), ('Summary criteria for project evaluation ', 10.742133140563965, (102.5999526977539, 193.29425048828125, 276.5074768066406, 204.036376953125), 12)]",3
2,Climate_Bond_Framework_of_Athon_in_2021,"[('Use of Proceeds  ', 11.039999961853027, (85.10399627685547, 85.42878723144531, 177.44912719726562, 97.7383804321289), 1), ('related projects (see “Use of proceeds”) to assure that the transaction is compliant with ', 11.039999961853027, (85.10399627685547, 226.5487823486328, 513.2811889648438, 238.85838317871094), 2), ('Use of proceeds: transaction’s amount allocated between the projects and ', 11.039999961853027, (139.10000610351562, 251.86878967285156, 513.40576171875, 264.1783752441406), 2), ('the Use of Proceeds allocation, ongoing eligibility of the projects and assets, adequacy ', 11.039999961853027, (85.10399627685547, 457.3587646484375, 513.2240600585938, 469.6683654785156), 2), ('and output of the Issuer’s internal control and systems and the use of funds not yet ', 11.039999961853027, (85.10399627685547, 470.0787658691406, 513.0916748046875, 482.38836669921875), 2)]",0,"[('Selection and Evaluation of Eligible Green Projects  ', 11.039999961853027, (85.10399627685547, 432.73876953125, 358.339111328125, 445.0483703613281), 1)]",0
3,FEFA_20V_Green_Bond_Framework,"[('Use of Proceeds', 9.941100120544434, (107.04000091552734, 310.20330810546875, 180.6667022705078, 321.2975769042969), 1), ('6.1. Use of proceeds reporting', 9.941100120544434, (85.08000183105469, 467.4033203125, 219.3666534423828, 478.4975891113281), 1), ('3. Use of Proceeds ', 11.019074440002441, (103.08000183105469, 698.3876953125, 210.22940063476562, 710.6849975585938), 7), ('framework. It will also guarantee that the use of proceeds does not fund other activities ', 11.019074440002441, (85.08000183105469, 71.02774047851562, 529.6478881835938, 83.32502746582031), 10), ('and will be not eligible for the use of Proceeds from the Green Bond: ', 11.019074440002441, (85.08000183105469, 549.3477172851562, 421.1484680175781, 561.64501953125), 10), ('continuous monitoring, matching and reporting of the use of proceeds, and to ensure that ', 11.019074440002441, (85.08000183105469, 489.8277587890625, 529.6416625976562, 502.1250305175781), 11), ('FEFA commits to report at least on an annual basis, the use of proceeds and the ', 11.019074440002441, (85.08000183105469, 253.667724609375, 529.5994262695312, 265.9649963378906), 12), ('6.1. Use of proceeds reporting ', 11.019074440002441, (134.63999938964844, 308.86773681640625, 295.8653259277344, 321.1650085449219), 12), ('that is annually published. The first report on the use of proceeds will be published one year ', 11.019074440002441, (85.08000183105469, 376.187744140625, 529.6077270507812, 388.4850158691406), 12), ('Use of proceeds within each Green Bond´s project category; ', 11.019074440002441, (121.12251281738281, 457.4277648925781, 417.9615783691406, 469.72503662109375), 12)]",2,"[('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('The Green Projects Evaluation and Selection Process is a key factor for ensuring that Green ', 11.019074440002441, (85.08000183105469, 670.3076782226562, 529.6216430664062, 682.60498046875), 9), ('The Green Projects Evaluation and Selection Process is a key factor for ensuring that Green ', 11.019074440002441, (85.08000183105469, 670.3076782226562, 529.6216430664062, 682.60498046875), 9), ('The project selection process provides a transparent system by which projects are identified, ', 11.019074440002441, (85.08000183105469, 296.98773193359375, 529.5244140625, 309.2850036621094), 10)]",3
4,FEFA_Green_Bond_Framework,"[('Use of Proceeds', 9.941100120544434, (107.04000091552734, 310.20330810546875, 180.6667022705078, 321.2975769042969), 1), ('6.1. Use of proceeds reporting', 9.941100120544434, (85.08000183105469, 467.4033203125, 219.3666534423828, 478.4975891113281), 1), ('3. Use of Proceeds ', 11.019074440002441, (103.08000183105469, 698.3876953125, 210.22940063476562, 710.6849975585938), 7), ('framework. It will also guarantee that the use of proceeds does not fund other activities ', 11.019074440002441, (85.08000183105469, 71.02774047851562, 529.6478881835938, 83.32502746582031), 10), ('and will be not eligible for the use of Proceeds from the Green Bond: ', 11.019074440002441, (85.08000183105469, 549.3477172851562, 421.1484680175781, 561.64501953125), 10), ('continuous monitoring, matching and reporting of the use of proceeds, and to ensure that ', 11.019074440002441, (85.08000183105469, 489.8277587890625, 529.6416625976562, 502.1250305175781), 11), ('FEFA commits to report at least on an annual basis, the use of proceeds and the ', 11.019074440002441, (85.08000183105469, 253.667724609375, 529.5994262695312, 265.9649963378906), 12), ('6.1. Use of proceeds reporting ', 11.019074440002441, (134.63999938964844, 308.86773681640625, 295.8653259277344, 321.1650085449219), 12), ('that is annually published. The first report on the use of proceeds will be published one year ', 11.019074440002441, (85.08000183105469, 376.187744140625, 529.6077270507812, 388.4850158691406), 12), ('Use of proceeds within each Green Bond´s project category; ', 11.019074440002441, (121.12251281738281, 457.4277648925781, 417.9615783691406, 469.72503662109375), 12)]",2,"[('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('Green Project Evaluation and Selection Process', 9.941100120544434, (107.04000091552734, 329.88330078125, 320.27630615234375, 340.9775695800781), 1), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('4. Green Project Evaluation and Selection Process ', 11.019074440002441, (103.08000183105469, 650.0277099609375, 375.1123046875, 662.3250122070312), 9), ('The Green Projects Evaluation and Selection Process is a key factor for ensuring that Green ', 11.019074440002441, (85.08000183105469, 670.3076782226562, 529.6216430664062, 682.60498046875), 9), ('The Green Projects Evaluation and Selection Process is a key factor for ensuring that Green ', 11.019074440002441, (85.08000183105469, 670.3076782226562, 529.6216430664062, 682.60498046875), 9), ('The project selection process provides a transparent system by which projects are identified, ', 11.019074440002441, (85.08000183105469, 296.98773193359375, 529.5244140625, 309.2850036621094), 10)]",3
5,"Framework,_Green_Bond_Protisa_Peru","[('1. Use of Proceeds ', 12.0, (78.02400207519531, 442.4980163574219, 171.0500030517578, 455.7820129394531), 3), (' 3.1 Use of Proceeds  ', 12.0, (78.02400207519531, 557.218017578125, 185.69000244140625, 570.5020141601562), 3)]",0,"[('2. Project Evaluation and Selection Process ', 12.0, (78.02400207519531, 465.4179992675781, 289.75, 478.7019958496094), 3), ('2. Project Evaluation and Selection Process ', 12.0, (78.02400207519531, 465.4179992675781, 289.75, 478.7019958496094), 3), ('2. Project Evaluation and Selection Process ', 12.0, (78.02400207519531, 465.4179992675781, 289.75, 478.7019958496094), 3), ('3.2 Project Selection and Evaluation Process ', 12.0, (78.02400207519531, 357.7580261230469, 308.4700012207031, 371.0420227050781), 4)]",0
6,Green_Bond_Framework,"[('Use of Proceeds ', 10.800000190734863, (109.09010314941406, 186.5183868408203, 183.4927978515625, 199.70518493652344), 1), ('Section 2: Impact of Use of Proceeds ', 10.800000190734863, (90.39013671875, 277.7184143066406, 256.3269958496094, 290.90521240234375), 1), ('sustainability teams to understand the use of proceeds, process for project evaluation and selection, ', 10.800000190734863, (72.23999786376953, 238.83839416503906, 542.140625, 252.0251922607422), 2), ('the GBP including: the use of proceeds, project evaluation and selection process, management of ', 10.800000190734863, (72.23999786376953, 144.7583770751953, 541.9588623046875, 157.94517517089844), 3), ('  Use of Proceeds ', 13.920000076293945, (107.68990325927734, 198.4281463623047, 210.2304229736328, 215.42446899414062), 3), ('Use of proceeds: ', 10.800000190734863, (72.23999786376953, 554.9183959960938, 155.50152587890625, 568.105224609375), 3), ('Use of Proceeds:', 10.800000190734863, (72.23999786376953, 483.87841796875, 152.9538116455078, 497.0652160644531), 4), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 133.95838928222656, 154.97232055664062, 147.1451873779297), 6), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 442.5984191894531, 154.97232055664062, 455.78521728515625), 6), ('Use of Proceeds:', 10.800000190734863, (72.23999786376953, 147.3983917236328, 152.47860717773438, 160.58518981933594), 7), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 375.638427734375, 154.97232055664062, 388.8252258300781), 7), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 227.7984161376953, 150.82513427734375, 240.98521423339844), 8), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 534.9984130859375, 150.82513427734375, 548.1852416992188), 8), ('Use of Proceeds: ', 10.800000190734863, (72.23999786376953, 389.55841064453125, 154.97518920898438, 402.7452087402344), 9), ('Area), as applicable, for their potential to create impact and their alignment with use of proceeds ', 10.800000190734863, (72.23999786376953, 313.2384033203125, 542.1837158203125, 326.4252014160156), 10), ('Use of Proceeds Category ', 10.800000190734863, (72.23999786376953, 216.2783966064453, 191.14219665527344, 229.46519470214844), 12), ('Section 2: Impact of Use of Proceeds ', 13.920000076293945, (72.23999786376953, 93.54814910888672, 287.13592529296875, 110.54446411132812), 15), ('Use of Proceeds Category ', 10.800000190734863, (72.23999786376953, 201.3983917236328, 191.14219665527344, 214.58518981933594), 16), ('managing Green Bond proceeds is robust, and its reporting on the use of proceeds, with KPIs that ', 10.800000190734863, (72.23999786376953, 603.87841796875, 542.0806884765625, 617.0652465820312), 17), ('Use of Proceeds ', 10.800000190734863, (106.08000183105469, 445.2384033203125, 180.48269653320312, 458.4252014160156), 18), ('1. USE OF PROCEEDS', 12.0, (72.23999786376953, 137.61598205566406, 175.2071990966797, 152.26797485351562), 19), ('Use of proceeds categories as per GBP: ', 12.0, (70.55999755859375, 390.81597900390625, 266.8013000488281, 405.4679870605469), 19), ('allocated. Klabin has also committed to reporting the impact of use of proceeds on a project portfolio ', 10.800000190734863, (72.23999786376953, 108.51838684082031, 528.0742797851562, 121.70518493652344), 21), ('Use of proceeds reporting:', 12.0, (72.23999786376953, 184.1759796142578, 204.82798767089844, 198.82797241210938), 21), ('allocation of the funds’ use of proceeds. ', 10.800000190734863, (72.23999786376953, 342.5184020996094, 251.69589233398438, 355.7052001953125), 23)]",4,"[('Project Evaluation and Selection Process ', 10.800000190734863, (109.09010314941406, 199.95838928222656, 292.0480041503906, 213.1451873779297), 1), ('Project Evaluation and Selection Process ', 10.800000190734863, (109.09010314941406, 199.95838928222656, 292.0480041503906, 213.1451873779297), 1), ('Project Evaluation and Selection Process ', 10.800000190734863, (109.09010314941406, 199.95838928222656, 292.0480041503906, 213.1451873779297), 1), ('sustainability teams to understand the use of proceeds, process for project evaluation and selection, ', 10.800000190734863, (72.23999786376953, 238.83839416503906, 542.140625, 252.0251922607422), 2), ('sustainability teams to understand the use of proceeds, process for project evaluation and selection, ', 10.800000190734863, (72.23999786376953, 238.83839416503906, 542.140625, 252.0251922607422), 2), ('sustainability teams to understand the use of proceeds, process for project evaluation and selection, ', 10.800000190734863, (72.23999786376953, 238.83839416503906, 542.140625, 252.0251922607422), 2), ('the GBP including: the use of proceeds, project evaluation and selection process, management of ', 10.800000190734863, (72.23999786376953, 144.7583770751953, 541.9588623046875, 157.94517517089844), 3), ('the GBP including: the use of proceeds, project evaluation and selection process, management of ', 10.800000190734863, (72.23999786376953, 144.7583770751953, 541.9588623046875, 157.94517517089844), 3), ('the GBP including: the use of proceeds, project evaluation and selection process, management of ', 10.800000190734863, (72.23999786376953, 144.7583770751953, 541.9588623046875, 157.94517517089844), 3), ('Project Evaluation and Selection Process ', 13.920000076293945, (107.68990325927734, 214.26817321777344, 345.65032958984375, 231.26449584960938), 10), ('Project Evaluation and Selection Process ', 13.920000076293945, (107.68990325927734, 214.26817321777344, 345.65032958984375, 231.26449584960938), 10), ('Project Evaluation and Selection Process ', 13.920000076293945, (107.68990325927734, 214.26817321777344, 345.65032958984375, 231.26449584960938), 10), ('Process for Evaluation and Selection of the Eligible Project ', 12.0, (107.68990325927734, 244.89601135253906, 399.7379150390625, 259.5480041503906), 10), ('Process for Evaluation and Selection of the Eligible Project ', 12.0, (107.68990325927734, 244.89601135253906, 399.7379150390625, 259.5480041503906), 10), ('Process for Project Evaluation and Selection ', 10.800000190734863, (361.20001220703125, 445.2384033203125, 559.6373901367188, 458.4252014160156), 18), ('Process for Project Evaluation and Selection ', 10.800000190734863, (361.20001220703125, 445.2384033203125, 559.6373901367188, 458.4252014160156), 18), ('Process for Project Evaluation and Selection ', 10.800000190734863, (361.20001220703125, 445.2384033203125, 559.6373901367188, 458.4252014160156), 18), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 12.0, (72.23999786376953, 677.135986328125, 351.3446044921875, 691.7880249023438), 19), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 12.0, (72.23999786376953, 677.135986328125, 351.3446044921875, 691.7880249023438), 19), ('2. PROCESS FOR PROJECT EVALUATION AND SELECTION ', 12.0, (72.23999786376953, 677.135986328125, 351.3446044921875, 691.7880249023438), 19), ('Evaluation and selection ', 12.0, (72.23999786376953, 202.65602111816406, 196.7801055908203, 217.30801391601562), 20), ('Summary criteria for project evaluation ', 10.800000190734863, (105.36000061035156, 250.11842346191406, 283.9704284667969, 263.30523681640625), 20)]",9
7,Green_social_bond_framework_series_ab_ac_2018,"[('and SBPs: Use of Funds, Evaluation and Selection Process, Fund Management and Reporting.', 11.039999961853027, (48.959999084472656, 222.62002563476562, 475.81768798828125, 233.66001892089844), 1), ('Use of Funds:', 11.039999961853027, (108.0199966430664, 261.8899841308594, 168.16351318359375, 272.92999267578125), 1), ('and Social Bond framework and in the Use of Funds section of this document. In the event that a project is ', 11.039999961853027, (54.0, 452.3500061035156, 535.7334594726562, 463.3900146484375), 7)]",0,"[('and SBPs: Use of Funds, Evaluation and Selection Process, Fund Management and Reporting.', 11.039999961853027, (48.959999084472656, 222.62002563476562, 475.81768798828125, 233.66001892089844), 1), ('and SBPs: Use of Funds, Evaluation and Selection Process, Fund Management and Reporting.', 11.039999961853027, (48.959999084472656, 222.62002563476562, 475.81768798828125, 233.66001892089844), 1), ('Selection and Evaluation Process:', 11.039999961853027, (108.0199966430664, 74.18002319335938, 255.79351806640625, 85.22002410888672), 4), ('Policy and therefore comply with the environmental and social criteria used during the evaluation and selection ', 11.039999961853027, (54.0, 300.8900146484375, 555.4146118164062, 311.9300231933594), 4)]",0
8,greenbondsprogramme,"[('GBP component 1: Use of proceeds  ', 14.039999961853027, (48.599998474121094, 233.68997192382812, 259.54302978515625, 247.72996520996094), 0)]",0,"[('GBP component 2: Process for project evaluation & selection ', 14.039999961853027, (48.599998474121094, 599.5299682617188, 405.4830322265625, 613.5700073242188), 0), ('GBP component 2: Process for project evaluation & selection ', 14.039999961853027, (48.599998474121094, 599.5299682617188, 405.4830322265625, 613.5700073242188), 0), ('5. Request prior disbursement of credits constructor certification supports or in process for LEED, EDGE, ', 11.039999961853027, (54.0, 121.10000610351562, 520.771240234375, 132.13999938964844), 2)]",0
9,Rumo_Green_Bond_2028_Framework,"[('2.1 Use of Proceeds ', 11.039999961853027, (72.02400207519531, 435.518798828125, 179.60911560058594, 447.8283996582031), 3), ('the Use of Proceeds (as described above) will be considered eligible for allocation of Green Bond ', 11.039999961853027, (72.02400207519531, 567.1588134765625, 543.038818359375, 579.4684448242188), 4)]",0,"[('process for project evaluation and selection, management of proceeds and reporting. ', 11.039999961853027, (72.02400207519531, 392.4187927246094, 488.6891174316406, 404.7283935546875), 3), ('process for project evaluation and selection, management of proceeds and reporting. ', 11.039999961853027, (72.02400207519531, 392.4187927246094, 488.6891174316406, 404.7283935546875), 3), ('2.2. Process for project evaluation and selection ', 11.039999961853027, (72.02400207519531, 384.8587951660156, 327.6191101074219, 397.16839599609375), 4), ('2.2. Process for project evaluation and selection ', 11.039999961853027, (72.02400207519531, 384.8587951660156, 327.6191101074219, 397.16839599609375), 4), ('2.2. Process for project evaluation and selection ', 11.039999961853027, (72.02400207519531, 384.8587951660156, 327.6191101074219, 397.16839599609375), 4)]",0
