,pdfname,language,tableCount,areaUOP_page,areaUOP_y1,areaSEEGP_page,areaSEEGP_y0,keep_areaSEEGP,countUOP_words
0,AES-Green-Financing-Framework-Reporting-May-2025,EN,1,2,254.53321838378906,0,0.0,False,358
1,BNDES_Green_Bond_Framework,EN,2,3,218.19271850585938,3,356.059814453125,True,60
2,Climate_Bond_Framework_of_Athon_in_2021,EN,0,1,97.7383804321289,1,432.73876953125,True,126
3,"Framework,_Green_Bond_Protisa_Peru",EN,4,3,455.7820129394531,3,465.4179992675781,True,0
4,Green_Bond_Framework,EN,3,3,215.42446899414062,10,214.26817321777344,True,955
5,Green_social_bond_framework_series_ab_ac_2018,EN,2,1,233.66001892089844,1,222.62002563476562,False,826
6,greenbondsprogramme,EN,0,0,247.72996520996094,0,599.5299682617188,True,130
7,Rumo_Green_Bond_2028_Framework,EN,1,3,447.8283996582031,3,392.4187927246094,False,376
8,Sustainability_Bond_Framework,EN,5,6,261.64996337890625,7,649.3300170898438,True,227
9,wcc-green-bond-second-party-opinion-05222019,EN,1,3,355.010009765625,0,357.9380187988281,False,855
10,FEFA_20V_Green_Bond_Framework,EN,3,7,710.6849975585938,9,650.0277099609375,True,274
11,FEFA_Green_Bond_Framework,EN,3,7,710.6849975585938,9,650.0277099609375,True,274
12,Green_Bonds_Framework_-_Banco_Pichincha,ES,1,4,60.76799392700195,7,33.959991455078125,True,274
13,Marco_de_la_Primera_Emision,ES,7,5,217.11599731445312,9,112.71603393554688,True,359
14,Marco_del_Bono_Verde,ES,2,4,265.010009765625,4,253.010009765625,False,973
15,Framework_ISA_CTEEP,PT,0,5,309.895263671875,10,187.21998596191406,True,444
