,pdfname,tablePages_list,table.Headers_list,countCat_words,unique compliant Categories_list,energy_system_tbl,unique Cats all,simScores_cln,resimScores
0,FEFA_20V_Green_Bond_Framework,"[8, 13]","[['Eligible Green Projects Selection Criteria', 'Col1'], ['Green Bond\nPrinciples FIRA Category Quantitative Parametric Indicators\nCategory', 'Col1', 'Col2']]",2,"['energy efficiency', 'environmentally sustainable agriculture']",False,"['estimated annual reduction in water water efficiency water efficiency consumption (m3).', 'environmentally sustainable agriculture', 'energy efficiency', 'estimated annual energy savings in renewable energy renewable energy kwh, ghg emissions reduced or avoided (tco e). 2', 'estimated annual reduction in water protected consumption (m3). agriculture estimated annual ghg emissions reduced or avoided. sustainable estimated annual reduction in water management of consumption (m3). living natural climate-smart resources & land agricultura estimated annual ghg emissions use reduced, avoided or captured. estimated land area with biodiversity biodiversity management (hectare).']","{'environmentally sustainable agriculture agriculture': 0.7954236268997192, 'energy efficiency efficiency': 0.9004887938499451}",{}
1,FEFA_Green_Bond_Framework,"[8, 13]","[['Eligible Green Projects Selection Criteria', 'Col1'], ['Green Bond\nPrinciples FIRA Category Quantitative Parametric Indicators\nCategory', 'Col1', 'Col2']]",2,"['energy efficiency', 'environmentally sustainable agriculture']",False,"['estimated annual reduction in water water efficiency water efficiency consumption (m3).', 'environmentally sustainable agriculture', 'energy efficiency', 'estimated annual energy savings in renewable energy renewable energy kwh, ghg emissions reduced or avoided (tco e). 2', 'estimated annual reduction in water protected consumption (m3). agriculture estimated annual ghg emissions reduced or avoided. sustainable estimated annual reduction in water management of consumption (m3). living natural climate-smart resources & land agricultura estimated annual ghg emissions use reduced, avoided or captured. estimated land area with biodiversity biodiversity management (hectare).']","{'environmentally sustainable agriculture agriculture': 0.7954236268997192, 'energy efficiency efficiency': 0.9004887938499451}",{}
2,"Framework,_Green_Bond_Protisa_Peru","[4, 5, 7, 8]","[['Eligible Green Projects are\ndefined as: Category as per\nGBP 2018', 'Eligible Green Projects'], ['Eligible Category', 'Name of the\nProject', 'Result Indicators'], ['Project Name', 'Location', 'Description', 'Eligible Green\nBond Category'], ['Col0', 'Col1', 'quality parameters comparable on a global scale.\nAmong other indicators, the plant’s effluent has\nsignificantly lower BOD and COD levels than\nrequired by Peruvian law.', 'Col3']]",1,['energy efficiency'],False,"['pollution prevention and control', 'energy efficiency', 'energy efficiency / pollution prevention and control / sustainable water management', 'sustainable water management']",{'energy efficiency efficiency': 0.9004887938499451},{}
3,Green_Bond_Framework,"[12, 16, 17]","[['Use of Proceeds Category', 'Key Performance Indicators'], ['Use of Proceeds Category', 'SDG', 'SDG target'], ['7. Sustainable Water\nManagement', 'SDG 12 –\nResponsible\nConsumption and\nProduction', '12.2 By 2030, achieve the sustainable\nmanagement and efficient use of natural\nresources.']]",2,"['5. energy efficiency', '3. renewable energy']",True,"['5. energy efficiency', '3. generation of energy from renewable sources', '3. renewable energy', '8. eco-efficient and circular economy adapted products, production technologies and processes', '4. clean transportation', '6. waste management', '7. sustainable water management', '9. climate change adaptation', '1. sustainable forest management, and 2. restoration of native forests and conservation of biodiversity,', '2. restoration of native forests and conservation of biodiversity', '1. sustainable forest management']","{'5. energy efficiency efficiency': 0.7815626263618469, '3. renewable energy renewable': 0.7841688394546509}",{'renewable': 1.0}
4,Green_social_bond_framework_series_ab_ac_2018,"[3, 6]","[['Category\nPotable water supply', 'Name of the project', 'Goal'], ['Categories of\nEligible Projects', 'Type of\nProject', 'Results\nIndicators', 'Environmental\nImpact Indicators', 'Social Impact\nindicators']]",2,"['potable water supply', 'sanitation']",False,"['resilient infrastructure', 'potable water supply', 'sanitation']","{'potable water supply water': 0.8469440937042236, 'potable water supply potable': 0.8287600874900818, 'sanitation sanitation': 1.0}",{}
5,Sustainability_Bond_Framework,"[7, 9, 10, 11]","[['Category', 'Eligibility Criteria', 'Applicable SDG\ntarget', 'Select project\nexamples'], ['Category', 'KPI’s'], ['1. Drinking water\nsolutions', '• Volume of water purified\n• Number of households and individuals benefited\n• Number of schools, public spaces and other institutions\nbenefited from drinking water fountains\n• Number of children benefited'], ['Col0', 'Col1', 'Col2']]",2,"['1. drinking water solutions', '4. water and wastewater treatment']",False,"['1. drinking water solutions', '4. water and wastewater treatment', '3. sanitation and sewage treatment', '2. water storage']","{'1. drinking water solutions water': 0.7993356585502625, '4. water and wastewater treatment water': 0.7892854809761047}",{}
6,wcc-green-bond-second-party-opinion-05222019,[4],"[['Use of Proceeds\nCategory', 'SDG', 'SDG target']]",1,['renewable energy'],True,['renewable energy'],{'renewable energy renewable': 0.9201155304908752},{'renewable': 1.0}
7,Integrated-Report-2017,"[8, 12, 53, 54, 55, 57, 78, 79]","[['A L M A R K E T S', 'Col1', 'COLOMBIA'], ['$51,289\n$25,645\n$ 25,645\n$25,645\n$ 65,645\n$65,645\n$90,000\n$40,000\n$45,000\n$45,000\n$45,000\n$45,000', 'N/A\nN/A\nN/A\nN/A\n$60,000\n$60,000\n$120,000\n$60,000\n$60,000\n$60,000\n$60,000\n$60,000', 'N/A\nN/A\nN/A\nN/A\n$20,000\nN/A\nN/A\n$20,000\n$20,000\nN/A\nN/A\n$38,500'], ['379\n4,866\n200', '7\n29', '86 34 5,143'], ['Col0', '23\n36\n103\n34\n95 2'], ['Col0', '0.59x\n0.57x\n0.53x 0.53x 0.53x\n0.51x'], ['+379\n4.866\n-200', '+7\n-29', '+86 +34 5.143'], ['CM\nCelulo', 'PC\nsa S.A.'], ['Col0', 'Col1', 'Col2', 'CMPC', 'Col4', '6', 'Col6', 'Col7', 'Col8']]",0,[],,[],{},{}
8,Integrated-Report-2017,"[0, 8, 12, 15, 16, 17, 23, 27, 28, 53, 54, 55, 57, 58, 59, 60, 78, 79, 93]","[['Col0', 'Col1', '01\nWELCOME TO CMPC'], ['COLOMBIA\n(102-4)\nTISSUE 2 Plants\nProduction capacity:\n30,000 metric tons\nMEXICO\nTISSUE 2 Plants\nProduction capacity:\n137,300 metric tons\nPAPER1 Paper sack plant\nProduction capacity:\n235 million units\nBRAZIL\nPULP 160,000 hectares planted\nProduction capacity at Guaiba mill:\n1,705 million metric tons\nTISSUE 2 Plants\nProduction capacity:\n134,000 metric tons\nPAPER 1 Plant\nProduction capacity:\n60,000 metric tons\nCHILE\nPULP 471 thousand hectares planted PAPER 2 Cardboard plants\n5 Sawmills Production capacity:\nProduction capacity: 430,000 metric tons\n960,000 m3\n1 Corrugated paper plant\n1 Plywood Plant Production capacity:\nProduction capacity: 316,000 metric tons\n500,000 m3\n1 Paper distributor\n2 Remanufacturing plants Production capacity:\nProduction capacity: 105,000 metric tons\n190,000 m3\n13 Paper recovery plants\n3 Mills Recovery capacity:\n(Laja, Pacífico, Santa Fe) 335,000 metric tons\nProduction capacity:\n2 million 300,000 metric tons 4 Corrugated cardboard plants\nProduction capacity:\nTISSUE 2 Plants 226,000 metric tons\nProduction capacity:\n159,000 metric tons 1 Molded products plant\nProduction capacity:\n380 million units\n1 Paper sack plant\nProduction capacity:\n210 million units', 'Col1', 'COLOMBIA\nTISSUE 2 Plants\nProduction capacity:\n30,000 metric tons', 'Col3'], ['DIRECTORIO', 'Col1'], ['Straw patio, CMPC, Puente Alto, 1920.', 'Col1'], ['Col0', 'CMPC Foundation, 2000.'], ['Col0', 'Guaiba II mill.'], ['Col0', 'Sack Kraft paper.'], ['Workers at the Buin plant, Printed Containers.', 'Col1'], ['Tissue plant in Cañete, Peru.', 'Col1'], ['379\n4,866\n200', '7\n29', '86 34 5,143'], ['Col0', '23\n36\n103\n34\n95 2', 'Col2', 'Col3'], ['Col0', '0.59x\n0.57x\n0.53x 0.53x 0.53x\n0.51x'], ['+379\n4.866\n-200', '+7\n-29', '+86 +34 5.143'], ['Col0', 'Col1', '15% Export sales foreign subsidiaries\n33% Export sales. Chile\n30% Local sales foreign subsidiaries\n22% Local sales Chile', 'Col3', '13%\n35%\n30%\n22%'], ['16 14 6\n634', 'Col1', 'Col2'], ['Col0', 'Col1', '3 86\n2\n25\n5 0'], ['CMPC S.A. BUSINESSES 1', 'Col1', 'Col2'], ['CMPC S.A. BUSINESSES 1', 'Col1', 'Col2'], ['Col0', 'Content 102-26\nContent 102-28\nContent 102-30\nContent 102-31\nContent 102-32\nContent 102-35\nContent 102-36\nContent 102-40\nContent 102-41\nContent 102-42\nContent 102-43\nContent 102-44\nContent 102-45\nContent 102-46\nContent 102-47\nContent 102-48\nContent 102-49\nContent 102-50\nContent 102-51\nContent 102-52\nContent 102-53\nContent 102-54\nContent 102-55\nContent 102-56\nContent 202-1\nContent 202-2\nContent 204-1\nContent 205-1\nContent 205-2\nContent 205-3\nContent 206-1\nContent 302-1\nContent 302-4\nContent 303-1\nContent 303-3\nContent 304-1\nContent 304-3\nContent 305-1\nContent 305-2\nContent 305-3\nContent 307-1\nContent 401-1\nContent 403-2\nContent 404-1\nContent 405-1\nContent 405-2\nContent 413-1', 'Function of the maximum governing body\nPerformance evaluation of the maximum governing body\nEffectiveness of risk management processes\nReview of economic, environmental and social issues\nFunction of the highest Governmental body in the sustainability reports\nRemuneration policies\nProcess for determining remuneration\nList of interest groups\nCollective bargaining agreements\nIdentification and selection of stakeholders\nApproach to the participation of interest groups\nKey concerns and issues mentioned\nEntities included in the consolidated financial statements\nDefinition of the contents of reports and the coverage of topics\nList of material issues\nRestatement of the information\nChanges in reporting\nThe reporting period\nDate of the last report\nReporting cycle\nPoint of contact for questions about the report\nDeclaration of preparation of the report in accordance with GRI standards\nGRI content index\nExternal verification\nAverage standard starting wage per sex as compared with the local minimum wage\nProportion of executives hired from the local community\nProportion of spending on local suppliers\nOperations evaluated for risks related to corruption\nCommunication and training on anti-corruption procedures and policies\nConfirmed cases of corruption and measures taken\nLegal actions against free competition and unfair competition\nEnergy consumption within the organization\nReduction in energy consumption\nExtraction of water by source\nWater recycled and reused\nProtected areas of high biodiversity value outside protected areas\nHabitats protected or restored\nDirect emissions of GHGS (scope 1)\nIndirect emissions of greenhouse gases to generate power (scope 2)\nOther indirect emissions of greenhouse gases (scope 3)\nFailure to comply with the legislation and environmental regulations\nRecruitment of employees and staff turnover\nAccident rate\nAverage hours of training per year per employee\nDiversity in government agencies and employees\nRatio of base salary and compensation of women compared to men\nParticipation of the local community', '20\n23\n127\n42\n20\n24\n24\n42\n60\n42\n42\n42\n156\n42\n42\n42\n04\n42\n42\n42\n04\n42\n186\n148\n66\n65\n78\n28\n28\n28\n28\n101\n103\n93\n93\n92\n92\n95\n95\n95\n28\n69\n61\n64\n65\n66\n70', 'Col4']]",0,[],,[],{},{}
9,Marco_de_la_Primera_Emision,"[6, 7, 8, 11, 12, 13]","[['Categoría del\nProyecto\nSocial Elegible', 'Criterio de elegibilidad', 'ODS', 'Meta8', 'Objetivo social'], ['Pyme con\nimpacto en la\ngeneración de\nempleo', 'Créditos otorgados a\npymes destinados a\ninversiones que generarán\nal menos un empleo.\nEl tamaño de la empresa\nse establece de acuerdo a\nla definición de pyme de\nla Secretaría de la\nPequeña y Mediana\nEmpresa vigente al\nmomento de la emisión.\nEsta toma en\nconsideración las ventas\ntotales anuales de la\nempresa expresados en\npesos argentinos.\nEn el Anexo 1 se muestra\nel detalle de la\nclasificación actual de la\nSecretaría de la Pequeña y\nMediana empresapara\nmicro, pequeña y mediana\nempresa según la\nindustria correspondiente\ny que podría ir variando a\nlo largo del tiempo.', '8. Trabajo\ndecente y\ncrecimiento\neconómico', '8.3\n(crecimiento y\ncreación de\nempleos en\npymes)', 'Promover el\ncrecimiento\neconómico de\npymes\nGenerar empleo'], ['Categoría\ndel\nProyecto\nVerde\nElegible', 'Criterio de elegibilidad', 'ODS', 'Meta9', 'Objetivo\nAmbiental'], ['Criterio de Elegibilidad\nProyectos Sociales', 'Indicador'], ['Provincias', 'IDSP'], ['Formosa', '0,451']]",4,"['proyectos de energía renovable', 'proyectos de eficiencia energética', 'inversión en obligaciones negociables simples de pyme', 'financiamiento para apoyar el desarrollo de las provincias del norte del país']",True,"['proyectos de eficiencia energética', 'inversión en obligaciones negociables simples de pyme', 'financiamiento para apoyar el desarrollo de las provincias del norte del país', 'empresas lideradas por mujeres', 'proyectos de energía renovable']","{'proyectos de eficiencia energética de alimentos': 0.8297563791275024, 'proyectos de eficiencia energética conservación ': 0.7435192465782166, 'proyectos de eficiencia energética de agua': 0.6825597882270813, 'proyectos de eficiencia energética saneamiento': 0.6885910630226135, 'proyectos de eficiencia energética adecuación': 0.7203603386878967, 'inversión en obligaciones negociables simples de pyme de alimentos': 0.7524979710578918, 'financiamiento para apoyar el desarrollo de las provincias del norte del país de alimentos': 0.6803983449935913, 'proyectos de energía renovable renovable': 0.6936132311820984, 'proyectos de energía renovable hidroelectricidad': 0.668678343296051, 'proyectos de energía renovable de alimentos': 0.8197966814041138, 'proyectos de energía renovable conservación ': 0.672461748123169, 'proyectos de energía renovable de agua': 0.7310363054275513}","{'bioenergía': 0.8198481798171997, 'renovable': 1.0}"
