,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'storage storage': 1.0, 'hydrogen hydrogen': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},"{'electric electric': 1.0, 'car car': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'potable potable': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'grid grid': 1.0, 'storage storage': 1.0, 'renewable renewable': 1.0, 'biofuel biofuel': 1.0, 'transmission transmission': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'generation generation': 1.0, 'power power': 1.0, 'hydrogen hydrogen': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'food food': 1.0, 'agriculture agriculture': 1.0, 'agriculture agricultural': 0.898859441280365, 'forest forest': 1.0, 'land land': 1.0}","{'biodiversity biodiversity': 1.0, 'conservation conservation': 1.0, 'terrestrial terrestrial': 1.0}","{'electric electric': 1.0, 'rail rail': 1.0, 'battery battery': 1.0, 'vehicle vehicle': 1.0, 'transportation transportation': 1.0}","{'wastewater wastewater': 1.0, 'water water': 1.0, 'sanitation sanitation': 1.0}",{'adaptation adaptation': 1.0},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
3,CADU_GREEN_BOND_FRAMEWORK,False,{},{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{'water water': 1.0},{},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'biomass biomass': 1.0, 'wind wind': 1.0, 'geothermal geothermal': 1.0}",{},{'waste waste': 1.0},{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{}
5,EGE_Haina_Green_Securities_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0, 'transmission transmission': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry forestry': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0}",{},{},{},{},{'battery battery': 1.0},{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{},{'pollution pollution': 1.0},{},{'biodiversity biodiversity': 1.0},{},{},{},{},{}
10,Marco_de_referencia_de_Bonos_Verdes_Soberanos_de_Colombia,True,"{'power power': 1.0, 'storage storage': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'agriculture agricultural': 0.898859441280365, 'agriculture agriculture': 1.0, 'forest forest': 1.0}","{'conservation conservation': 1.0, 'biodiversity biodiversity': 1.0}","{'electric electric': 1.0, 'non non': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'sanitation sanitation': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}","{'adaptation adaptation': 1.0, 'disaster disaster': 1.0}","{'reuse reuse': 1.0, 'circular circular': 1.0}",{'buildings buildings': 1.0}
11,Nacional_Financiera_Green_Bond_USD,True,"{'generation generation': 1.0, 'wind wind': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
12,SONDA_S_A__GREEN_BOND_FRAMEWORK,True,"{'geothermal geothermal': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'biomass biomass': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{},{},{},{'buildings buildings': 1.0}
13,Bono_Azul_-_Framework,False,{},{},{},{},{},{},{},{},{},{}
14,Bono_Verde_de_Bancoldex_Framework,True,"{'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'renovable renovable': 1.0}",{},{'contaminación contaminación': 1.0},"{'. residual': 0.9217485785484314, '. invernadero': 0.9198287725448608, '. gaseosos': 0.8873090147972107, '. residuales': 0.8812421560287476, '. energéticos': 0.8808454871177673, '. masivo': 0.8817608952522278}",{},"{'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0}",{},{},{},{'construcciones construcciones': 1.0}
15,Cartilla_Bonos_Verdes,True,"{'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'cuadrícula (': 0.8893733024597168}",{},{},"{'. energético': 0.8899020552635193, '. responsable': 0.8858040571212769, '. contaminante': 0.9003280997276306, '. agrícola': 0.8843717575073242, '. compuertas': 0.8945333361625671, '. electrificado': 0.9312004446983337, '. ordinarios': 0.891767144203186, '. minero-energética': 0.9393861293792725, '. desalinizadoras': 0.9288363456726074, '. colombiano': 0.9160950779914856, '. comercial': 0.8960788249969482, '. infraestructura': 0.8884092569351196, '. inteligentes': 0.8802396059036255}",{},"{'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0}",{'  potable': 1.0000001192092896},{},{},{}
16,Marco_de_Gestión_de_Bono_Verde,True,"{'hidroelectricidad electricidad': 0.8845244646072388, 'cuadrícula (': 0.9453670382499695, 'cuadrícula producida': 0.9135403037071228}",{},{},"{'. anterior': 0.8830994963645935, '. existente': 0.8830294609069824, '. mencionado': 0.8940680623054504, '. electricidad': 0.8894007802009583, '. independiente': 0.9198972582817078, '. hidroeléctrica': 0.9062407612800598, '. telecomunicaciones': 0.8981540203094482, '. reemplazar': 0.9225937128067017}",{},{},{},{},{},{}
17,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",True,"{'cuadrícula (': 0.9473557472229004, 'solar solar': 1.0, 'generación generación': 1.0}",{},{},"{'. r.l': 0.9626614451408386, '. valorizables': 0.9034574627876282, '. huacas': 0.8966912627220154, '. favorable': 0.891533613204956}",{},{'eléctricos eléctricos': 1.0},{},{},{},{}
18,Marco_de_Referencia_del_Bono_Verde_de_la_Ciudad_de_Mexico,True,"{'cuadrícula (': 0.9473557472229004, 'cuadrícula totales': 0.892815351486206, 'generación generación': 1.0, 'biomasa biomasa': 1.0, 'cuadrícula tecnología': 0.8814537525177002, 'renovable renovable': 1.0}",{},{'contaminación descontaminación': 0.9332984685897827},"{'. cdmx': 0.9229597449302673, '. c.p': 0.9544176459312439, '. méxico': 0.8943427205085754, '. temprana': 0.8936052918434143, '. equivalentes': 0.9073979258537292, '. todavía': 0.9017109870910645, '. beneficiadas': 0.8821940422058105}",{'biodiversidad biodiversidad': 1.0},{'transporte transporte': 1.0},{},{},{},{'construcciones edificaciones': 0.9605708122253418}
19,Green_Bonds_Framework_Athon_2020,True,"{'energia energia': 0.9084944128990173, 'geração geração': 1.0}",{},{},{},{},{},{},{},{},{}
