,pdfname,language,tableCount,areaUOP_page,areaUOP_y1,areaSEEGP_page,areaSEEGP_y0,keep_areaSEEGP,countUOP_words
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,EN,1,1,420.328369140625,2,354.48486328125,True,188
1,Bci_Sustainable_Financing_Framework,EN,0,7,110.54598999023438,1,28.432018280029297,False,909
2,"BTG_Pactual_Green,_Social_and_Sustainable_Financing_Framework",EN,4,14,406.3380432128906,18,499.0630187988281,True,327
3,BTG_Sustainable_Financing_Framework,EN,1,20,80.4582290649414,31,60.549739837646484,True,1311
4,CABEI_Green_Bond_Framework,EN,5,7,441.1899719238281,11,81.25997924804688,True,387
5,CADU_GREEN_BOND_FRAMEWORK,EN,0,6,140.12840270996094,0,758.4647827148438,False,578
6,CAFs_GREEN_BOND_FRAMEWORK,EN,6,7,262.4383850097656,9,336.9037780761719,True,271
7,CIFI_Green_Bond_Framework,EN,0,7,569.7774047851562,8,169.97476196289062,True,66
8,EGE_Haina_Green_Securities_Framework,EN,1,10,492.4649963378906,12,428.4010009765625,True,275
9,FS_Green_Bond_Framework_-_July_2021,EN,0,11,455.7480773925781,5,223.61953735351562,False,679
10,FS_Green_Bond_Framework_-_November_2020,EN,0,7,546.9940185546875,7,403.42999267578125,False,653
11,Genneia_Green_Bond_Framework,EN,0,8,110.36100006103516,9,104.2969970703125,True,169
12,Green_Bond_Financing_Framework,EN,3,7,179.08998107910156,8,559.1800537109375,True,186
13,Green_Bond_Framework_of_Banco_Guayaquil,EN,16,6,109.51173400878906,11,71.71221160888672,True,622
14,Green_Finance_Framework_Interchile,EN,1,7,321.5299987792969,9,111.74002075195312,True,210
15,Green_social_bond_framework_series_ad_ae_2019,EN,3,1,98.54003143310547,1,87.50003051757812,False,927
16,ILAP_Green_Financing_Framework,EN,0,0,481.3471984863281,0,470.6816101074219,False,910
17,ISA_CTM_FRAMEWORK,EN,11,8,271.75701904296875,3,201.05001831054688,False,503
18,Marco_de_referencia_de_Bonos_Verdes_Soberanos_de_Colombia,EN,1,14,479.13140869140625,19,351.2341003417969,True,731
19,Nacional_Financiera_Green_Bond_USD,EN,1,3,123.77001190185547,3,356.3600158691406,True,84
20,Sicredi_Green_Bond_Framework,EN,2,3,402.5299987792969,4,579.0700073242188,True,236
21,SONDA_S_A__GREEN_BOND_FRAMEWORK,EN,0,4,124.09998321533203,4,435.19000244140625,True,124
22,Chile_Sustainable_Bond_Framework,EN,13,18,217.0777130126953,3,216.1040802001953,False,1443
23,Genneia_Green_Financing_Framework,EN,2,1,600.4822387695312,0,0.0,False,1267
24,Bono_Azul_-_Framework,ES,5,1,336.7926025390625,1,390.2168884277344,True,15
25,Bono_Verde_de_Bancoldex_Framework,ES,1,1,492.78997802734375,3,365.6300048828125,True,325
26,Cartilla_Bonos_Verdes,ES,0,10,433.61669921875,16,464.2304992675781,True,497
27,Bono_Azul_-_Framework,ES,5,1,336.7926025390625,1,390.2168884277344,True,15
28,Bono_Verde_de_Bancoldex_Framework,ES,1,1,492.78997802734375,3,365.6300048828125,True,325
29,Cartilla_Bonos_Verdes,ES,0,10,433.61669921875,16,464.2304992675781,True,497
30,Marco_de_Gestión_de_Bono_Verde,ES,3,7,411.2099914550781,2,210.83001708984375,False,400
31,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",ES,18,15,89.1515884399414,16,541.7062377929688,True,271
32,Marco_de_Referencia_del_Bono_Verde_de_la_Ciudad_de_Mexico,ES,0,0,490.8699951171875,0,395.0500183105469,False,818
33,Nacional_Financiera_Green_Bond_MXN,ES,6,3,188.5699920654297,3,534.4599609375,True,99
34,"Marco_de_Uso_de_Fondo_para_la_Emision_de_Bonos_Verdes,_Sociales_o_Sostenibles_BDP_I",ES,43,5,102.91759490966797,32,535.163818359375,True,2949
35,Green_Bond_Framework,PT,5,1,304.6119689941406,15,133.8379669189453,True,1602
36,Green_Bonds_Framework_Athon_2020,PT,2,4,428.29156494140625,6,551.9811401367188,True,379
